,title,price,metros2,location,Rooms,region
171,"Apartamento T1 na Ajuda - Rua Dr, António Ribeiro Santos, 11",1000,71,Ajuda,1, Lisboa
172,"Apartamento T2, centro, condomínio fechado com piscina, O...",870,89,Olhão,2, Faro
173,Apartamento T4 + 1 | Equipado | Varanda | Terraço | Lumiar,2600,188,Lumiar,4, Lisboa
174,Apartamento T2 para arrendamento na Av. da Liberdade em Lisboa,5000,180,Santo António,2, Lisboa
175,"Apartamento T3+1 para arrendamento, sem móveis nas Avenidas Novas",2600,123,Avenidas Novas,3, Lisboa
176,"Apartamento T2 mobilado com extremo bom gosto, equipado, ...",3800,112,"Cascais e Estoril, Cascais",2, Lisboa
177,Fantástico T3 Av. Berna,2000,145,Avenidas Novas,3, Lisboa
178,"T2- CENTRO/PICOAS, LUXO, GARAGEM, ARRECADAÇÃO",2850,86,Arroios,2, Lisboa
179,"Apartamento T1, centro, condomínio fechado com piscina, O...",830,65,Olhão,1, Faro
180,"Apartamento T4 com terraço para arrendamento em Benfica, Lisboa",6950,158.7,São Domingos de Benfica,4, Lisboa
181,"Apartamento T3 para arrendar com vista sobre o Parque da Cidade, Porto",3750,169,"Aldoar, Foz do Douro e Nevogilde",3, Porto
182,"Apartamento T4+1 com vista rio nas Amoreiras, Lisboa",8000,296.7,Campo de Ourique,4, Lisboa
183,Apartamento T3 para arrendamento,3100,130,Areeiro,3, Lisboa
184,ARRENDAMENTO T2,1050,81,"Costa da Caparica, Almada",2, Setúbal
185,"Apartamento T1 com 106 m2 equipado, climatização central,...",2800,100,Misericórdia,1, Lisboa
186,Apartamento T3+2 para arrendar com terraço e vista rio na Estrela,3200,152,Estrela,3, Lisboa
187,Apartamento T3 Montijo - Pinus Urban Garden Novo - 3 Suites,2500,202,"Montijo e Afonsoeiro, Montijo",3, Setúbal
188,Apartamento T2 Mobilado com Vista Mar - Cascais,3800,110,"Cascais e Estoril, Cascais",2, Lisboa
189,Apartamento T2 COMPLETAMENTE MOBILADO E EQUIPADO.,1500,123,"Matosinhos e Leça da Palmeira, Matosinhos",2, Porto
190,Apartamento T3+1 duplex com piscina em condomínio fechado,19000,273,"Cascais e Estoril, Cascais",3, Lisboa
191,T3 Estrela,3500,170,Estrela,3, Lisboa
192,"Apartamento T3 DUPLEX Arrendamento em Esmoriz,Ovar",1300,138.42,"Esmoriz, Ovar",3, Aveiro
193,"Apartamento T3 com garagem para arrendar sem móveis na Lapa, Lisboa",3500,170,Estrela,3, Lisboa
194,"Apartamento T3 para arrendamento mobilado no Alto de Algés, Lisboa",3500,153.12,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras",3, Lisboa
195,Apartamento T3+1 para arrendamento sem móveis no Chiado,4500,205.4,Santa Maria Maior,3, Lisboa
196,Apartamento T3 para arrendamento,5750,97,Campo de Ourique,3, Lisboa
197,"Apartamento T3 de luxo duplex, com vista mar, em Esmoriz",1300,129.51,"Esmoriz, Ovar",3, Aveiro
198,"Apartamento T3 Duplex com Vista Mar, a 50mt da praia Esmoriz",1300,153.8,"Esmoriz, Ovar",3, Aveiro
199,"Apartamento T2, centro, condomínio fechado com piscina, O...",940,85,Olhão,2, Faro
200,Apartamento T4 mobilado e com terraço para arrendamento na Estrela,9000,180,Estrela,4, Lisboa
201,"Apartamento T3 sem móveis, novo a estrear, inserido em co...",13000,331,"Cascais e Estoril, Cascais",3, Lisboa
202,Apartamento T4 sem móveis totalmente remodelado no último...,7850,209,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras",4, Lisboa
203,Arrendar / T2 Canelas / Gaia / Varandas / Lareira / Cozinha equipada /,820,95.9,"Canelas, Vila Nova de Gaia",2, Porto
204,T2 Canelas / Gaia /  Arrendar / Lugar de Garagem,710,87.1,"Canelas, Vila Nova de Gaia",2, Porto
205,Apartamento T3 em frente á praia de Matosinhos para arrendamento,2500,150,"Matosinhos e Leça da Palmeira, Matosinhos",3, Porto
206,Apartamento T5 Mobilado c/ Garagem dupla fechada - Figueira da Foz,1300,135,"Buarcos e São Julião, Figueira da Foz",5, Coimbra
207,Apartamento T3+1 para arrendamento em condomínio fechado na Beloura,6500,184,"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra",3, Lisboa
208,"Apartamento T2, centro, condomínio fechado com piscina, O...",880,85,Olhão,2, Faro
209,Penthouse NOVA Terraço 44m2 nas Antas Porto,4000,138.45,Campanhã,44, Porto
210,Penthouse NOVA Terraço 44m2 nas Antas Porto,4000,183.45,Campanhã,44, Porto
211,Penthouse T4 ao Estádio do Dragão,4000,183,Campanhã,4, Porto
212,Excelente apartamento T3 Duplex com 2 lugares de garagem e arrecadação,1575,167.2,Bonfim,3, Porto
213,T5 Avenidas Novas,3750,215,Avenidas Novas,5, Lisboa
214,"T2 recente, como novo, 2 varandas, lareira, lugar de garagem",720,93.2,"Canelas, Vila Nova de Gaia",2, Porto
215,Apartamento T2 com garagem para arrendamento com móveis no Chiado,4600,145.68,Santa Maria Maior,2, Lisboa
216,Apartamento T5 para arrendamento,3500,270,Alvalade,5, Lisboa
217,Apartamento T2 para arrendamento sem móveis no Estoril,1450,90.55,"Cascais e Estoril, Cascais",2, Lisboa
218,Apartamento T2+1 sem móveis novo em Carnaxide.,2600,122,"Carnaxide e Queijas, Oeiras",2, Lisboa
219,Apartamento T3 na Azarujinha,9750,265,"Cascais e Estoril, Cascais",3, Lisboa
220,"Apartamento T3 sem móveis em Cascais, em condomínio fecha...",4000,169.63,"Cascais e Estoril, Cascais",3, Lisboa
221,Fantástico apartamento T4 duplex no centro de Cascais.,5000,180,"Cascais e Estoril, Cascais",4, Lisboa
222,"Charmoso apartamento T3+2 sem móveis, inserido em condomí...",10000,270,"Alcabideche, Cascais",3, Lisboa
223,Apartamento T2 para arrendamento,2500,66.25,Arroios,2, Lisboa
224,Apartamento T1 para arrendar Lamaçães Braga,700,73,"Nogueira, Fraião e Lamaçães",1, Braga
225,"Excenete T3 para arrendamento em Caxias, Oeiras!",1200,80,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras",3, Lisboa
226,T3 MOBILIADO para ARRENDAMENTO- QTA BORLOTEIRA,900,117.3,"Tavarede, Figueira da Foz",3, Coimbra
227,Apartamento T4+1+Garagem em Celas,800,130,Santo António dos Olivais,4, Coimbra
228,"Apartamento T2 Duplex, Arrendamento na Foz, Porto",1900,87.59,Lordelo do Ouro e Massarelos,2, Porto
229,Penthouse T3 Praia Amorosa com terraço,900,89,Chafé,3, Viana do Castelo
230,Condomínio Fechado Metrocity - Parque das Nações,1100,51,Parque das Nações,, Lisboa
231,O Jardim do Príncipe Real a 2 minutos,1250,28,Misericórdia,2, Lisboa
232,Apartamento T1 a 10 minutos a pé do Chiado,1500,61,Misericórdia,1, Lisboa
233,Apartamento T2 a 10 minutos a pé do Chiado,2000,75,Misericórdia,2, Lisboa
234,"Magnifica oportunidade, T2 para arrendamento com 2 varandas, localizad",950,66,Benfica,2, Lisboa
235,"Apartamento T2 em São Martinho, Funchal",2000,100,"São Martinho, Funchal",2, Ilha da Madeira
236,Apartamento T3 para arrendamento,830,115,Braga (São José de São Lázaro e São João do Souto),3, Braga
