,title,price,metros2,location,rooms,region
1577,"Apartamento T2, Ramalde",950.0,82.0,Ramalde,2, Porto
1578,Apartamento t3 a 400m da estacao do metro Nasoni,880.0,120.0,Campanha,3, Porto
1579,Apartamento Duplex junto da praia,900.0,98.0,"Canidelo, Vila Nova de Gaia",1, Porto
1580,Apartamento T2 para arrendamento,800.0,75.0,"Charneca de Caparica e Sobreda, Almada",2, Setubal
1581,T1 para arrendamento em Fao - Esposende,600.0,39.0,"Apulia e Fao, Esposende",1, Braga
1582,Apartamento T1 para arrendamento,700.0,72.0,"Albufeira e Olhos de Agua, Albufeira",1, Faro
1583,T0 Todas despesas incluidas,650.0,28.0,"Coimbra (Se Nova, Santa Cruz, Almedina e Sao Bartolomeu)",0, Coimbra
1584,T0 Todas as despesas incluidas,600.0,30.0,"Coimbra (Se Nova, Santa Cruz, Almedina e Sao Bartolomeu)",0, Coimbra
1585,NOVO APARTAMENTO T0 no centro do Porto,900.0,29.0,"Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria",0, Porto
1586,Apartamento T3 mobilado. Marinha Grande. .,1000.0,120.0,Marinha Grande,3, Leiria
1587,"Apartamento T2 Vista Mar, Peniche Sao Bernardino",700.0,80.0,"Atouguia da Baleia, Peniche",2, Leiria
1588,Apartamento T1 para arrendamento Centro de Guimaraes,600.0,64.0,"Azurem, Guimaraes",1, Braga
1589,"APARTAMENTO T1 - Centro Historico, Viana do Castelo",700.0,47.62,Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,1, Viana do Castelo
1590,Arrendamento Apartamento T1 Duplex - Covilha,350.0,50.0,"Covilha e Canhoso, Covilha",1, Castelo Branco
1591,Apartamento T1 Mezanine Arrendamento Aveiro Gloria e Vera...,750.0,57.74,Gloria e Vera Cruz,1, Aveiro
1592,Apartamento em Funchal,950.0,55.0,"Se, Funchal",1, Ilha da Madeira
1593,Arrendo T4 Duplex Proximo ao Metro/Centro/Praia Povoa de Varzim (Novo),1250.0,180.0,"Povoa de Varzim, Beiriz e Argivai, Povoa de Varzim",4, Porto
1594,Apartamento em Casa Branca,1300.0,85.0,"Sao Martinho, Funchal",2, Ilha da Madeira
1595,Arrendo Apartamento T2+1 Povoa Varzim Centro/Metro,800.0,110.0,"Povoa de Varzim, Beiriz e Argivai, Povoa de Varzim",3, Porto
1596,Apartamento T2 na urbanizacao Terracos da Ponte para arrendamento,1300.0,108.0,"Sacavem e Prior Velho, Loures",2, Lisboa
1597,Habitacao T3 para Arrendar,950.0,96.0,"Canidelo, Vila Nova de Gaia",3, Porto
1598,Apartamento a alugar Aguas Santas,650.0,100.0,"Aguas Santas, Maia",2, Porto
